"n","k","b0","b1","n_sims","true_coef","method","ev","mc_error_ev","bias","percent_bias","var","mse","prop_ones"
210,9,-0.5,0.5,50000,0.5,"ML",0.53353,0.000773985,0.0335302,6.70604,0.0299526,0.0310763,0.402803
210,9,-0.5,0.5,50000,0.5,"PML",0.501766,0.000724796,0.00176614,0.353228,0.0262665,0.0262691,0.402803
30,3,0,0.5,50000,0.5,"ML",0.660138,0.00334094,0.160138,32.0276,0.558093,0.583726,0.481062
30,3,0,0.5,50000,0.5,"PML",0.51545,0.00256741,0.0154497,3.08994,0.329578,0.329811,0.481062
40,3,0,0.5,50000,0.5,"ML",0.614053,0.00242285,0.114053,22.8106,0.29351,0.306512,0.504497
40,3,0,0.5,50000,0.5,"PML",0.512026,0.00201373,0.0120257,2.40514,0.202754,0.202895,0.504497
50,3,0,0.5,50000,0.5,"ML",0.570543,0.00164063,0.0705431,14.1086,0.134584,0.139558,0.495484
50,3,0,0.5,50000,0.5,"PML",0.506461,0.00143735,0.00646083,1.29217,0.103299,0.103339,0.495484
60,3,0,0.5,50000,0.5,"ML",0.556276,0.00136854,0.0562761,11.2552,0.0936454,0.0968105,0.484272
60,3,0,0.5,50000,0.5,"PML",0.503535,0.00123182,0.00353521,0.707041,0.0758696,0.0758806,0.484272
70,3,0,0.5,50000,0.5,"ML",0.548551,0.00142863,0.0485511,9.71021,0.102049,0.104404,0.490227
70,3,0,0.5,50000,0.5,"PML",0.502258,0.0013022,0.00225768,0.451536,0.0847859,0.0847893,0.490227
80,3,0,0.5,50000,0.5,"ML",0.543029,0.00131521,0.0430289,8.60577,0.0864885,0.0883383,0.474403
80,3,0,0.5,50000,0.5,"PML",0.503218,0.0012137,0.003218,0.643601,0.0736535,0.0736624,0.474403
90,3,0,0.5,50000,0.5,"ML",0.533118,0.00115279,0.0331181,6.62362,0.0664459,0.0675414,0.493998
90,3,0,0.5,50000,0.5,"PML",0.50219,0.00107979,0.00218981,0.437963,0.0582968,0.0583005,0.493998
100,3,0,0.5,50000,0.5,"ML",0.534733,0.00123509,0.0347331,6.94662,0.0762727,0.0774775,0.489882
100,3,0,0.5,50000,0.5,"PML",0.502399,0.00116065,0.00239863,0.479726,0.0673551,0.0673595,0.489882
110,3,0,0.5,50000,0.5,"ML",0.527255,0.00107735,0.0272547,5.45095,0.0580336,0.0587753,0.489514
110,3,0,0.5,50000,0.5,"PML",0.500724,0.00102067,0.000723583,0.144717,0.0520881,0.0520876,0.489514
120,3,0,0.5,50000,0.5,"ML",0.529819,0.000896597,0.0298186,5.96371,0.0401943,0.0410826,0.50114
120,3,0,0.5,50000,0.5,"PML",0.502545,0.000849536,0.00254503,0.509005,0.0360856,0.0360913,0.50114
130,3,0,0.5,50000,0.5,"ML",0.524233,0.000938297,0.0242333,4.84665,0.04402,0.0446064,0.505013
130,3,0,0.5,50000,0.5,"PML",0.501618,0.00089501,0.00161763,0.323526,0.0400521,0.0400539,0.505013
140,3,0,0.5,50000,0.5,"ML",0.521813,0.000884679,0.0218134,4.36269,0.0391329,0.0396079,0.504647
140,3,0,0.5,50000,0.5,"PML",0.501278,0.000848466,0.001278,0.2556,0.0359947,0.0359956,0.504647
150,3,0,0.5,50000,0.5,"ML",0.519997,0.000873463,0.0199972,3.99945,0.0381469,0.038546,0.511107
150,3,0,0.5,50000,0.5,"PML",0.500563,0.000839497,0.000562957,0.112591,0.0352377,0.0352374,0.511107
160,3,0,0.5,50000,0.5,"ML",0.522371,0.000784266,0.022371,4.4742,0.0307537,0.0312535,0.503732
160,3,0,0.5,50000,0.5,"PML",0.502604,0.000754093,0.00260382,0.520764,0.0284328,0.028439,0.503732
170,3,0,0.5,50000,0.5,"ML",0.517015,0.000810201,0.0170154,3.40307,0.0328213,0.0331101,0.497307
170,3,0,0.5,50000,0.5,"PML",0.500308,0.000782805,0.00030815,0.0616301,0.0306392,0.0306387,0.497307
180,3,0,0.5,50000,0.5,"ML",0.516969,0.000734421,0.0169694,3.39389,0.0269687,0.0272561,0.504902
180,3,0,0.5,50000,0.5,"PML",0.500906,0.000710404,0.000905992,0.181198,0.0252337,0.025234,0.504902
190,3,0,0.5,50000,0.5,"ML",0.518052,0.00069099,0.0180523,3.61046,0.0238734,0.0241988,0.504848
190,3,0,0.5,50000,0.5,"PML",0.501906,0.000668824,0.001906,0.381201,0.0223663,0.0223695,0.504848
200,3,0,0.5,50000,0.5,"ML",0.513848,0.000712027,0.0138483,2.76965,0.0253491,0.0255404,0.502822
200,3,0,0.5,50000,0.5,"PML",0.49941,0.000691698,-0.00059016,-0.118032,0.0239223,0.0239222,0.502822
210,3,0,0.5,50000,0.5,"ML",0.51442,0.000761956,0.0144197,2.88395,0.0290288,0.0292362,0.52524
210,3,0,0.5,50000,0.5,"PML",0.499124,0.000738367,-0.000875548,-0.17511,0.0272593,0.0272595,0.52524
30,6,0,0.5,50000,0.5,"ML",0.774365,0.00413722,0.274365,54.8729,0.855828,0.931087,0.507371
30,6,0,0.5,50000,0.5,"PML",0.529243,0.00264628,0.0292426,5.84853,0.350141,0.350989,0.507371
40,6,0,0.5,50000,0.5,"ML",0.658806,0.00229609,0.158806,31.7612,0.263602,0.288816,0.526125
40,6,0,0.5,50000,0.5,"PML",0.514105,0.00170304,0.0141047,2.82093,0.145017,0.145213,0.526125
50,6,0,0.5,50000,0.5,"ML",0.622108,0.00198015,0.122108,24.4216,0.19605,0.210956,0.468951
50,6,0,0.5,50000,0.5,"PML",0.512707,0.0015851,0.0127069,2.54139,0.125628,0.125787,0.468951
60,6,0,0.5,50000,0.5,"ML",0.592533,0.00166363,0.0925334,18.5067,0.138383,0.146943,0.468519
60,6,0,0.5,50000,0.5,"PML",0.506834,0.00138843,0.00683405,1.36681,0.0963874,0.0964322,0.468519
70,6,0,0.5,50000,0.5,"ML",0.570885,0.00145321,0.0708851,14.177,0.105591,0.110614,0.516033
70,6,0,0.5,50000,0.5,"PML",0.50354,0.00126886,0.00353998,0.707997,0.0805003,0.0805113,0.516033
80,6,0,0.5,50000,0.5,"ML",0.562226,0.00132946,0.0622259,12.4452,0.0883738,0.0922441,0.485783
80,6,0,0.5,50000,0.5,"PML",0.503742,0.00116955,0.00374219,0.748439,0.0683922,0.0684049,0.485783
90,6,0,0.5,50000,0.5,"ML",0.557339,0.0012499,0.0573388,11.4678,0.078113,0.0813992,0.503841
90,6,0,0.5,50000,0.5,"PML",0.502639,0.00112155,0.00263853,0.527706,0.0628934,0.0628991,0.503841
100,6,0,0.5,50000,0.5,"ML",0.553779,0.00115899,0.0537794,10.7559,0.0671633,0.0700542,0.526442
100,6,0,0.5,50000,0.5,"PML",0.504323,0.001048,0.00432335,0.86467,0.0549155,0.0549331,0.526442
110,6,0,0.5,50000,0.5,"ML",0.537611,0.00123403,0.0376114,7.52229,0.0761415,0.0775546,0.485323
110,6,0,0.5,50000,0.5,"PML",0.499394,0.00113454,-0.000605698,-0.12114,0.0643596,0.0643587,0.485323
120,6,0,0.5,50000,0.5,"ML",0.543744,0.000993516,0.0437443,8.74887,0.0493537,0.0512663,0.511907
120,6,0,0.5,50000,0.5,"PML",0.500299,0.000911108,0.000298864,0.0597728,0.0415059,0.0415051,0.511907
130,6,0,0.5,50000,0.5,"ML",0.539411,0.00105298,0.0394112,7.88224,0.0554383,0.0569905,0.496774
130,6,0,0.5,50000,0.5,"PML",0.501367,0.000973984,0.00136699,0.273398,0.0474323,0.0474332,0.496774
140,6,0,0.5,50000,0.5,"ML",0.534335,0.000830647,0.0343353,6.86705,0.0344987,0.035677,0.474761
140,6,0,0.5,50000,0.5,"PML",0.501678,0.000775147,0.0016778,0.335559,0.0300426,0.0300449,0.474761
150,6,0,0.5,50000,0.5,"ML",0.531744,0.000868013,0.0317435,6.34871,0.0376724,0.0386793,0.524493
150,6,0,0.5,50000,0.5,"PML",0.501694,0.000815454,0.00169384,0.338768,0.0332483,0.0332505,0.524493
160,6,0,0.5,50000,0.5,"ML",0.5269,0.000902601,0.0269,5.38001,0.0407345,0.0414572,0.506926
160,6,0,0.5,50000,0.5,"PML",0.499096,0.000850896,-0.000904055,-0.180811,0.0362012,0.0362013,0.506926
170,6,0,0.5,50000,0.5,"ML",0.529522,0.00086421,0.029522,5.9044,0.037343,0.0382138,0.507194
170,6,0,0.5,50000,0.5,"PML",0.500947,0.000815438,0.000946502,0.1893,0.033247,0.0332472,0.507194
180,6,0,0.5,50000,0.5,"ML",0.525417,0.000749322,0.0254174,5.08348,0.0280742,0.0287197,0.500484
180,6,0,0.5,50000,0.5,"PML",0.501169,0.000712242,0.00116901,0.233802,0.0253644,0.0253653,0.500484
190,6,0,0.5,50000,0.5,"ML",0.525856,0.000756274,0.0258557,5.17115,0.0285975,0.0292655,0.493135
190,6,0,0.5,50000,0.5,"PML",0.50127,0.00071867,0.00126957,0.253915,0.0258243,0.0258254,0.493135
200,6,0,0.5,50000,0.5,"ML",0.524212,0.000750261,0.0242124,4.84249,0.0281446,0.0287303,0.485853
200,6,0,0.5,50000,0.5,"PML",0.501032,0.00071372,0.00103243,0.206486,0.0254698,0.0254704,0.485853
210,6,0,0.5,50000,0.5,"ML",0.522791,0.000684521,0.0227907,4.55813,0.0234284,0.0239474,0.506987
210,6,0,0.5,50000,0.5,"PML",0.499614,0.00065363,-0.000385988,-0.0771975,0.0213616,0.0213613,0.506987
30,9,0,0.5,50000,0.5,"ML",1.05034,0.00667548,0.550342,110.068,2.2281,2.53093,0.513776
30,9,0,0.5,50000,0.5,"PML",0.566214,0.00330312,0.0662141,13.2428,0.54553,0.549903,0.513776
40,9,0,0.5,50000,0.5,"ML",0.798685,0.0035596,0.298685,59.7369,0.633538,0.722738,0.506491
40,9,0,0.5,50000,0.5,"PML",0.535337,0.00212383,0.0353371,7.06742,0.225532,0.226776,0.506491
50,9,0,0.5,50000,0.5,"ML",0.686888,0.00208439,0.186888,37.3775,0.217233,0.252156,0.479594
50,9,0,0.5,50000,0.5,"PML",0.519163,0.00142925,0.0191635,3.8327,0.102138,0.102503,0.479594
60,9,0,0.5,50000,0.5,"ML",0.65667,0.00212293,0.15667,31.3339,0.225342,0.249883,0.489055
60,9,0,0.5,50000,0.5,"PML",0.515057,0.00161496,0.0150567,3.01134,0.130405,0.130629,0.489055
70,9,0,0.5,50000,0.5,"ML",0.608335,0.00166789,0.108335,21.6671,0.139093,0.150827,0.49402
70,9,0,0.5,50000,0.5,"PML",0.506877,0.00135147,0.00687716,1.37543,0.091324,0.0913694,0.49402
80,9,0,0.5,50000,0.5,"ML",0.60735,0.00159501,0.10735,21.4701,0.127203,0.138725,0.485128
80,9,0,0.5,50000,0.5,"PML",0.510059,0.00131165,0.0100591,2.01182,0.0860217,0.0861212,0.485128
90,9,0,0.5,50000,0.5,"ML",0.589517,0.00137975,0.0895168,17.9034,0.0951853,0.103197,0.472803
90,9,0,0.5,50000,0.5,"PML",0.507792,0.00117811,0.00779178,1.55836,0.0693974,0.0694567,0.472803
100,9,0,0.5,50000,0.5,"ML",0.572923,0.00114301,0.0729229,14.5846,0.065323,0.0706395,0.513974
100,9,0,0.5,50000,0.5,"PML",0.504378,0.000996648,0.00437817,0.875633,0.0496654,0.0496836,0.513974
110,9,0,0.5,50000,0.5,"ML",0.567445,0.00105924,0.0674451,13.489,0.0560996,0.0606473,0.485727
110,9,0,0.5,50000,0.5,"PML",0.503518,0.000932142,0.00351787,0.703573,0.0434445,0.043456,0.485727
120,9,0,0.5,50000,0.5,"ML",0.554986,0.000955046,0.0549861,10.9972,0.0456056,0.0486282,0.510445
120,9,0,0.5,50000,0.5,"PML",0.502028,0.000850863,0.00202796,0.405592,0.0361984,0.0362018,0.510445
130,9,0,0.5,50000,0.5,"ML",0.558062,0.000984144,0.0580617,11.6123,0.048427,0.0517972,0.48864
130,9,0,0.5,50000,0.5,"PML",0.504947,0.000884029,0.00494748,0.989496,0.0390754,0.0390991,0.48864
140,9,0,0.5,50000,0.5,"ML",0.545983,0.000977616,0.0459828,9.19655,0.0477867,0.0499001,0.507588
140,9,0,0.5,50000,0.5,"PML",0.501647,0.000890394,0.00164727,0.329454,0.0396401,0.039642,0.507588
150,9,0,0.5,50000,0.5,"ML",0.542194,0.000903115,0.0421941,8.43882,0.0407809,0.0425604,0.494502
150,9,0,0.5,50000,0.5,"PML",0.500883,0.000829949,0.000882841,0.176568,0.0344408,0.0344409,0.494502
160,9,0,0.5,50000,0.5,"ML",0.543477,0.000958238,0.0434765,8.69531,0.045911,0.0478003,0.496054
160,9,0,0.5,50000,0.5,"PML",0.501747,0.000882101,0.00174695,0.349391,0.0389051,0.0389074,0.496054
170,9,0,0.5,50000,0.5,"ML",0.541168,0.000839288,0.0411683,8.23365,0.0352202,0.0369143,0.500046
170,9,0,0.5,50000,0.5,"PML",0.503651,0.000777149,0.00365113,0.730226,0.030198,0.0302107,0.500046
180,9,0,0.5,50000,0.5,"ML",0.535907,0.000847137,0.0359067,7.18134,0.0358821,0.0371706,0.509002
180,9,0,0.5,50000,0.5,"PML",0.500814,0.000789886,0.000813691,0.162738,0.031196,0.031196,0.509002
190,9,0,0.5,50000,0.5,"ML",0.534594,0.000767257,0.034594,6.9188,0.0294342,0.0306303,0.508423
190,9,0,0.5,50000,0.5,"PML",0.500347,0.000716572,0.000347433,0.0694866,0.0256737,0.0256733,0.508423
200,9,0,0.5,50000,0.5,"ML",0.534235,0.000765305,0.0342349,6.84698,0.0292846,0.0304561,0.497093
200,9,0,0.5,50000,0.5,"PML",0.50117,0.000717707,0.00117012,0.234025,0.0257552,0.025756,0.497093
210,9,0,0.5,50000,0.5,"ML",0.529682,0.000781663,0.029682,5.93641,0.0305499,0.0314303,0.493541
210,9,0,0.5,50000,0.5,"PML",0.500884,0.000735945,0.000884492,0.176898,0.0270808,0.027081,0.493541
